data	data	45252	40236	16246	57546	31788	79018	34492	63290	76528	88254	29822	79924	72078	26502	55638	98526	48686	86056	47614	23856	17478	48130	40954	18860	44656	46460	1390	3644	1148	2260	9848	10698	4774	17928	3756	5126	24034	30694	5066	15930	284	1502	5372	3938	8768	5640	1	342	1448	7490	33232	4130	51962	54718	45136	86390	41482	63874	31858	52464	30696	16278	14750	13274	38356	46830	30782	53746	578	46	10596	6620	54120	150256	9994	35332	6034	9460	25314	43642	2522	20978	1	1760	11880	11820	18198	36088	604	788	5400	198	408	832	474	528	6428	1794	362	452	1	296	81610	32562	43576	61678	22206	47928	1	276	7320	6972	79180	12984	100	6858	88	74	35092	38550	7446	23996	4850	3920	8936	24996	5104	21442	27958	22446	21520	48308	9232	23838	22668	11764	17240	13140	16780	33960	1032	884	13712	10826	12228	23950	4010	17968	47758	38974	27598	57208	9816	12810	43898	61782	7028	9772	27650	35506	33128	53798	38630	105162	8960	1320	24012	22296	41028	114874	30850	80758	14086	27410	10098	23320	20528	10880	66242	63118	40018	42646	13038	7566	60406	64902	986	21116	15818	23810	46272	16996	8604	25096	73622	94876	65212	67556	14668	10786	9504	31774	11534	12790	12880	46364	21318	4880	20502	17712	9536	5126	9692	2378	75378	38898	132156	99232	12768	24478	65036	57842	58962	66196	32574	29912	78346	82482	79672	100620	79762	65176	41840	49822	42564	66360	90368	56080	111204	111998	98426	62906	94860	58448	49986	108924	
data	data	SFG_L_7_1	SFG_R_7_1	SFG_L_7_2	SFG_R_7_2	SFG_L_7_3	SFG_R_7_3	SFG_L_7_4	SFG_R_7_4	SFG_L_7_5	SFG_R_7_5	SFG_L_7_6	SFG_R_7_6	SFG_L_7_7	SFG_R_7_7	MFG_L_7_1	MFG_R_7_1	MFG_L_7_2	MFG_R_7_2	MFG_L_7_3	MFG_R_7_3	MFG_L_7_4	MFG_R_7_4	MFG_L_7_5	MFG_R_7_5	MFG_L_7_6	MFG_R_7_6	MFG_L_7_7	MFG_R_7_7	IFG_L_6_1	IFG_R_6_1	IFG_L_6_2	IFG_R_6_2	IFG_L_6_3	IFG_R_6_3	IFG_L_6_4	IFG_R_6_4	IFG_L_6_5	IFG_R_6_5	IFG_L_6_6	IFG_R_6_6	OrG_L_6_1	OrG_R_6_1	OrG_L_6_2	OrG_R_6_2	OrG_L_6_3	OrG_R_6_3	OrG_L_6_4	OrG_R_6_4	OrG_L_6_5	OrG_R_6_5	OrG_R_6_6	OrG_R_6_6	PrG_L_6_1	PrG_R_6_1	PrG_L_6_2	PrG_R_6_2	PrG_L_6_3	PrG_R_6_3	PrG_L_6_4	PrG_R_6_4	PrG_L_6_5	PrG_R_6_5	PrG_L_6_6	PrG_R_6_6	PCL_L_2_1	PCL_R_2_1	PCL_L_2_2	PCL_R_2_2	STG_L_6_1	STG_R_6_1	STG_L_6_2	STG_R_6_2	STG_L_6_3	STG_R_6_3	STG_L_6_4	STG_R_6_4	STG_L_6_5	STG_R_6_5	STG_L_6_6	STG_R_6_6	MTG_L_4_1	MTG_R_4_1	MTG_L_4_2	MTG_R_4_2	MTG_L_4_3	MTG_R_4_3	MTG_L_4_4	MTG_R_4_4	ITG_L_7_1	ITG_R_7_1	ITG_L_7_2	ITG_R_7_2	ITG_L_7_3	ITG_R_7_3	ITG_L_7_4	ITG_R_7_4	ITG_L_7_5	ITG_R_7_5	ITG_L_7_6	ITG_R_7_6	ITG_L_7_7	ITG_R_7_7	FuG_L_3_1	FuG_R_3_1	FuG_L_3_2	FuG_R_3_2	FuG_L_3_3	FuG_R_3_3	PhG_L_6_1	PhG_R_6_1	PhG_L_6_2	PhG_R_6_2	PhG_L_6_3	PhG_R_6_3	PhG_L_6_4	PhG_R_6_4	PhG_L_6_5	PhG_R_6_5	PhG_L_6_6	PhG_R_6_6	pSTS_L_2_1	pSTS_R_2_1	pSTS_L_2_2	pSTS_R_2_2	SPL_L_5_1	SPL_R_5_1	SPL_L_5_2	SPL_R_5_2	SPL_L_5_3	SPL_R_5_3	SPL_L_5_4	SPL_R_5_4	SPL_L_5_5	SPL_R_5_5	IPL_L_6_1	IPL_R_6_1	IPL_L_6_2	IPL_R_6_2	IPL_L_6_3	IPL_R_6_3	IPL_L_6_4	IPL_R_6_4	IPL_L_6_5	IPL_R_6_5	IPL_L_6_6	IPL_R_6_6	PCun_L_4_1	PCun_R_4_1	PCun_L_4_2	PCun_R_4_2	PCun_L_4_3	PCun_R_4_3	PCun_L_4_4	PCun_R_4_4	PoG_L_4_1	PoG_R_4_1	PoG_L_4_2	PoG_R_4_2	PoG_L_4_3	PoG_R_4_3	PoG_L_4_4	PoG_R_4_4	INS_L_6_1	INS_R_6_1	INS_L_6_2	INS_R_6_2	INS_L_6_3	INS_R_6_3	INS_L_6_4	INS_R_6_4	INS_L_6_5	INS_R_6_5	INS_L_6_6	INS_R_6_6	CG_L_7_1	CG_R_7_1	CG_L_7_2	CG_R_7_2	CG_L_7_3	CG_R_7_3	CG_L_7_4	CG_R_7_4	CG_L_7_5	CG_R_7_5	CG_L_7_6	CG_R_7_6	CG_L_7_7	CG_R_7_7	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	LOcC_L_4_1	LOcC_R_4_1	LOcC_L_4_2	LOcC_R_4_2	LOcC_L_4_3	LOcC_R_4_3	LOcC_L_4_4	LOcC_R_4_4	LOcC_L_2_1	LOcC_R_2_1	LOcC_L_2_2	LOcC_R_2_2	Amyg_L_2_1	Amyg_R_2_1	Amyg_L_2_2	Amyg_R_2_2	Hipp_L_2_1	Hipp_R_2_1	Hipp_L_2_2	Hipp_R_2_2	BG_L_6_1	BG_R_6_1	BG_L_6_2	BG_R_6_2	BG_L_6_3	BG_R_6_3	BG_L_6_4	BG_R_6_4	BG_L_6_5	BG_R_6_5	BG_L_6_6	BG_R_6_6	Tha_L_8_1	Tha_R_8_1	Tha_L_8_2	Tha_R_8_2	Tha_L_8_3	Tha_R_8_3	Tha_L_8_4	Tha_R_8_4	Tha_L_8_5	Tha_R_8_5	Tha_L_8_6	Tha_R_8_6	Tha_L_8_7	Tha_R_8_7	Tha_L_8_8	Tha_R_8_8	
45252	SFG_L_7_1	0	1655	665	0	1145	0	1576	1234	2718	2282	45	0	0	0	60	0	37	0	13	0	0	0	131	0	56	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	12	0	0	0	0	192	222	19	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	39	0	70	0	0	0	0	0	196	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	360	1263	0	0	0	23	0	1233	18	1853	776	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	228	0	0	0	0	0	0	0	0	0	1154	0	0	0	23	0	0	0	18	0	427	0	283	0	279	0	1233	0	0	0	
40236	SFG_R_7_1	1655	0	18	2874	0	1152	408	2321	453	1895	0	308	0	29	0	0	0	25	0	0	0	0	0	0	0	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	263	0	167	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	21	0	0	0	14	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	72	0	0	0	0	0	253	182	1021	0	0	0	0	0	984	454	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	837	0	0	0	0	0	18	0	216	0	0	0	425	0	0	0	425	0	356	
16246	SFG_L_7_2	665	18	0	0	2268	0	16	0	0	17	0	0	0	0	912	0	610	0	95	0	34	0	1126	0	135	0	0	0	82	0	0	0	153	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	14	0	135	0	0	0	0	0	155	0	153	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	38	0	0	0	13	0	0	0	12	0	416	0	19	0	0	0	0	0	0	0	182	0	16	0	54	0	412	0	0	0	
57546	SFG_R_7_2	0	2874	0	0	0	4871	0	850	0	601	0	336	0	46	0	4683	0	2224	0	806	0	438	0	79	0	2124	0	0	0	88	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0	331	0	231	0	0	0	0	0	0	0	49	0	0	0	0	0	15	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	56	0	0	0	0	0	0	0	21	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	21	0	74	0	0	0	35	0	18	0	613	0	0	0	0	0	551	0	624	0	0	0	0	0	0	0	20	0	0	0	43	0	94	0	0	0	76	0	0	0	0	0	123	0	0	0	0	0	23	0	0	0	0	0	169	0	67	0	0	0	947	0	180	0	0	0	124	0	182	0	0	0	417	0	68	0	2191	0	273	
31788	SFG_L_7_3	1145	0	2268	0	0	370	0	0	0	0	1918	683	1742	67	1607	0	35	0	841	0	492	0	284	0	0	0	20	0	0	0	218	0	59	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	451	0	382	338	0	0	683	0	302	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	363	0	0	0	35	0	705	0	0	0	
79018	SFG_R_7_3	0	1152	0	4871	370	0	0	0	0	310	1764	4675	2209	3766	433	2197	0	0	411	2274	114	1482	0	0	0	0	14	482	0	0	0	296	0	61	0	187	0	281	0	0	0	0	0	125	27	137	0	0	0	36	31	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	22	424	0	26	0	0	0	0	0	0	0	689	1988	1917	0	0	0	376	0	429	29	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	357	0	232	0	112	0	302	35	1293	0	334	0	15	0	112	0	85	0	0	0	275	0	56	0	1914	0	134	
34492	SFG_L_7_4	1576	408	16	0	0	0	0	489	3174	1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1240	86	1000	0	877	30	0	0	0	0	2465	126	57	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2306	18	0	0	61	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	29	157	77	0	0	0	0	0	26	0	791	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63290	SFG_R_7_4	1234	2321	0	850	0	0	489	0	861	4293	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4256	0	1448	0	2397	0	0	0	0	0	2243	0	244	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	45	0	206	0	712	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	0	2515	0	0	0	154	0	313	0	0	0	194	0	1117	0	21	0	0	0	0	0	25	0	0	0	0	16	427	210	47	0	0	0	0	33	58	682	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	
