data	data	3784	3212	5720	4012	7420	8998	7736	6934	3596	3678	2270	1936	2456	1964	3134	2602	2110	2634	2572	1476	4916	4740	3616	3704	2748	5558	8788	10562	326	1132	1514	1218	2078	2024	4448	5706	3136	2906	3076	530	2144	548	2496	7830	7898	7020	5030	3832	864	312	5056	11670	3416	3128	3756	5272	4156	4764	4462	5412	848	1608	4844	3376	342	632	1324	3076	10632	3880	1112	1204	1102	1990	1048	1344	1548	3246	3120	3338	4132	3268	1768	8740	3062	2800	2328	4508	2964	3112	8418	2218	10020	8926	6334	1470	3772	4268	5598	1264	3456	874	13382	9786	5712	3594	10486	4252	312	180	434	506	1164	1226	302	138	76	746	382	624	836	2804	1124	1106	3946	3842	2382	1120	1302	1646	4406	1518	380	1516	7580	8864	2054	4542	2616	3416	4424	7130	4980	2452	3262	3654	4362	3646	1690	2018	5300	10470	854	2498	2162	3584	886	1618	3966	2908	7426	4990	4072	5344	3390	12108	3106	2950	3106	13448	1150	1662	3862	2362	1146	1008	3248	3364	1232	350	8910	6710	790	200	1356	982	1700	206	3326	3088	2568	2122	6134	5130	1352	2200	11900	7314	2778	4612	2806	5236	7018	7476	5692	9248	8432	4650	5888	2518	1364	6412	9140	8210	16200	19404	12902	15052	8340	12774	23070	25764	23564	13688	18794	16632	4680	3970	26636	26296	10048	8016	19118	6508	10348	4294	4716	4586	11930	7012	7934	3228	2746	2190	18008	9948	
data	data	SFG_L_7_1	SFG_R_7_1	SFG_L_7_2	SFG_R_7_2	SFG_L_7_3	SFG_R_7_3	SFG_L_7_4	SFG_R_7_4	SFG_L_7_5	SFG_R_7_5	SFG_L_7_6	SFG_R_7_6	SFG_L_7_7	SFG_R_7_7	MFG_L_7_1	MFG_R_7_1	MFG_L_7_2	MFG_R_7_2	MFG_L_7_3	MFG_R_7_3	MFG_L_7_4	MFG_R_7_4	MFG_L_7_5	MFG_R_7_5	MFG_L_7_6	MFG_R_7_6	MFG_L_7_7	MFG_R_7_7	IFG_L_6_1	IFG_R_6_1	IFG_L_6_2	IFG_R_6_2	IFG_L_6_3	IFG_R_6_3	IFG_L_6_4	IFG_R_6_4	IFG_L_6_5	IFG_R_6_5	IFG_L_6_6	IFG_R_6_6	OrG_L_6_1	OrG_R_6_1	OrG_L_6_2	OrG_R_6_2	OrG_L_6_3	OrG_R_6_3	OrG_L_6_4	OrG_R_6_4	OrG_L_6_5	OrG_R_6_5	OrG_R_6_6	OrG_R_6_6	PrG_L_6_1	PrG_R_6_1	PrG_L_6_2	PrG_R_6_2	PrG_L_6_3	PrG_R_6_3	PrG_L_6_4	PrG_R_6_4	PrG_L_6_5	PrG_R_6_5	PrG_L_6_6	PrG_R_6_6	PCL_L_2_1	PCL_R_2_1	PCL_L_2_2	PCL_R_2_2	STG_L_6_1	STG_R_6_1	STG_L_6_2	STG_R_6_2	STG_L_6_3	STG_R_6_3	STG_L_6_4	STG_R_6_4	STG_L_6_5	STG_R_6_5	STG_L_6_6	STG_R_6_6	MTG_L_4_1	MTG_R_4_1	MTG_L_4_2	MTG_R_4_2	MTG_L_4_3	MTG_R_4_3	MTG_L_4_4	MTG_R_4_4	ITG_L_7_1	ITG_R_7_1	ITG_L_7_2	ITG_R_7_2	ITG_L_7_3	ITG_R_7_3	ITG_L_7_4	ITG_R_7_4	ITG_L_7_5	ITG_R_7_5	ITG_L_7_6	ITG_R_7_6	ITG_L_7_7	ITG_R_7_7	FuG_L_3_1	FuG_R_3_1	FuG_L_3_2	FuG_R_3_2	FuG_L_3_3	FuG_R_3_3	PhG_L_6_1	PhG_R_6_1	PhG_L_6_2	PhG_R_6_2	PhG_L_6_3	PhG_R_6_3	PhG_L_6_4	PhG_R_6_4	PhG_L_6_5	PhG_R_6_5	PhG_L_6_6	PhG_R_6_6	pSTS_L_2_1	pSTS_R_2_1	pSTS_L_2_2	pSTS_R_2_2	SPL_L_5_1	SPL_R_5_1	SPL_L_5_2	SPL_R_5_2	SPL_L_5_3	SPL_R_5_3	SPL_L_5_4	SPL_R_5_4	SPL_L_5_5	SPL_R_5_5	IPL_L_6_1	IPL_R_6_1	IPL_L_6_2	IPL_R_6_2	IPL_L_6_3	IPL_R_6_3	IPL_L_6_4	IPL_R_6_4	IPL_L_6_5	IPL_R_6_5	IPL_L_6_6	IPL_R_6_6	PCun_L_4_1	PCun_R_4_1	PCun_L_4_2	PCun_R_4_2	PCun_L_4_3	PCun_R_4_3	PCun_L_4_4	PCun_R_4_4	PoG_L_4_1	PoG_R_4_1	PoG_L_4_2	PoG_R_4_2	PoG_L_4_3	PoG_R_4_3	PoG_L_4_4	PoG_R_4_4	INS_L_6_1	INS_R_6_1	INS_L_6_2	INS_R_6_2	INS_L_6_3	INS_R_6_3	INS_L_6_4	INS_R_6_4	INS_L_6_5	INS_R_6_5	INS_L_6_6	INS_R_6_6	CG_L_7_1	CG_R_7_1	CG_L_7_2	CG_R_7_2	CG_L_7_3	CG_R_7_3	CG_L_7_4	CG_R_7_4	CG_L_7_5	CG_R_7_5	CG_L_7_6	CG_R_7_6	CG_L_7_7	CG_R_7_7	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	LOcC_L_4_1	LOcC_R_4_1	LOcC_L_4_2	LOcC_R_4_2	LOcC_L_4_3	LOcC_R_4_3	LOcC_L_4_4	LOcC_R_4_4	LOcC_L_2_1	LOcC_R_2_1	LOcC_L_2_2	LOcC_R_2_2	Amyg_L_2_1	Amyg_R_2_1	Amyg_L_2_2	Amyg_R_2_2	Hipp_L_2_1	Hipp_R_2_1	Hipp_L_2_2	Hipp_R_2_2	BG_L_6_1	BG_R_6_1	BG_L_6_2	BG_R_6_2	BG_L_6_3	BG_R_6_3	BG_L_6_4	BG_R_6_4	BG_L_6_5	BG_R_6_5	BG_L_6_6	BG_R_6_6	Tha_L_8_1	Tha_R_8_1	Tha_L_8_2	Tha_R_8_2	Tha_L_8_3	Tha_R_8_3	Tha_L_8_4	Tha_R_8_4	Tha_L_8_5	Tha_R_8_5	Tha_L_8_6	Tha_R_8_6	Tha_L_8_7	Tha_R_8_7	Tha_L_8_8	Tha_R_8_8	
3784	SFG_L_7_1	0	177	229	3	140	14	126	37	186	12	133	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	22	0	5	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	24	3	4	0	49	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	12	6	0	0	0	0	29	5	0	0	0	3	38	22	20	0	13	0	82	0	69	0	0	0	71	0	34	0	2	0	150	0	
3212	SFG_R_7_1	177	0	32	207	112	121	109	148	83	66	29	27	0	0	0	17	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18	0	54	22	0	0	0	2	0	9	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	42	0	0	0	0	9	109	0	0	0	0	0	13	0	19	0	0	5	54	2	21	0	0	0	5	0	0	0	0	2	27	
5720	SFG_L_7_2	229	32	0	5	184	9	51	2	0	0	3	10	0	0	17	3	0	0	0	0	10	0	132	0	5	0	0	4	0	0	7	0	21	0	0	0	15	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	2	11	0	0	0	0	19	0	0	11	2	0	17	0	0	0	3	0	64	0	13	0	11	0	2	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	8	0	0	0	0	0	0	0	2	0	22	0	37	0	0	0	50	0	2	0	0	0	28	0	0	0	4	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	40	0	0	63	53	0	0	0	0	305	51	6	0	2	9	48	7	371	8	16	0	213	2	96	0	0	0	104	0	65	0	4	0	269	2	
4012	SFG_R_7_2	3	207	5	0	11	221	7	143	0	0	3	0	0	0	0	127	0	0	0	0	2	5	0	70	0	138	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	10	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	2	10	174	0	5	3	2	30	354	5	0	3	2	0	4	5	95	3	0	28	129	0	38	0	0	2	15	0	0	0	0	3	75	
7420	SFG_L_7_3	140	112	184	11	0	369	2	0	0	0	241	120	148	147	137	0	0	0	84	26	61	48	0	0	3	0	12	54	0	0	21	0	0	0	0	8	3	0	0	0	0	9	0	5	0	0	0	0	0	0	0	17	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	3	0	5	0	0	0	20	0	0	0	3	0	19	0	6	0	3	0	55	0	17	0	14	0	6	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	10	0	5	0	0	0	0	0	3	0	2	0	4	0	0	0	0	0	24	5	10	0	0	0	2	5	0	0	0	0	0	0	10	0	32	0	0	0	84	0	0	2	11	0	9	0	3	0	160	100	14	4	5	0	6	0	17	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	38	18	9	0	0	6	133	25	5	0	0	22	32	21	259	5	40	2	88	4	31	0	7	0	67	2	42	2	5	0	112	3	
8998	SFG_R_7_3	14	121	9	221	369	0	10	4	0	0	68	239	156	62	101	95	0	0	33	158	11	266	0	15	0	4	2	7	0	0	12	59	0	0	0	82	3	0	0	0	5	0	0	0	0	0	0	0	4	0	0	19	0	0	4	5	8	11	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	11	0	4	13	5	0	9	0	7	0	6	0	4	10	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	4	2	3	6	0	0	0	0	9	0	0	0	0	9	0	2	0	0	0	2	2	0	0	0	2	0	8	14	2	0	0	0	0	0	0	4	0	0	0	0	0	0	90	61	16	2	0	2	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	3	0	0	0	0	0	75	5	13	47	148	0	27	6	7	90	331	44	2	14	20	2	96	112	98	6	38	27	196	0	46	0	0	6	155	2	34	0	9	15	282	
7736	SFG_L_7_4	126	109	51	7	2	10	0	315	385	326	0	0	0	0	0	5	0	0	0	2	0	0	65	0	221	0	0	7	0	0	0	0	2	0	0	4	6	0	8	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	63	3	0	0	2	6	0	0	0	0	0	2	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	2	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	2	0	189	83	0	0	0	0	466	82	2	0	2	15	2	53	182	9	22	0	545	5	82	0	2	2	13	0	0	0	0	0	251	4	
6934	SFG_R_7_4	37	148	2	143	0	4	315	0	274	413	0	0	0	0	2	7	0	0	0	2	0	7	0	7	0	227	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	161	6	0	6	9	0	0	0	0	0	0	11	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	15	209	0	0	0	0	43	721	3	0	0	0	31	93	0	202	0	0	51	162	4	53	0	0	0	0	0	0	0	0	11	11	
