data	data	54008	38616	33014	46404	73166	81490	57714	58802	106030	94028	37458	65980	82466	82404	50884	90908	42186	94730	24548	50112	12934	36232	31600	49856	54044	52464	1726	3754	650	7954	4396	19160	14840	32592	2402	5236	34114	49450	186274	26728	590	1184	4226	354	4832	4410	1	1	13998	8814	25178	936	56732	59332	48406	91770	66640	39610	64368	53376	220208	73888	237212	35942	44614	71006	48266	61456	1468	646	12392	11516	120112	130558	17112	12118	5026	6640	23166	34988	652	21438	3150	1120	24132	29776	13094	28650	7386	1172	8800	3144	2834	1	3360	558	8156	18218	264	1364	1	786	60692	27130	58198	40248	8660	5684	1	1	37302	23754	45170	39666	19836	7186	1	1	27040	21216	6790	43266	4968	5900	26604	8420	16862	2100	7160	27114	36506	34028	1148	15736	11572	31120	7316	8450	23772	34216	8256	2788	8134	8326	16404	28484	60960	4496	70936	66118	26774	66532	7846	11620	36642	65392	9678	14912	18200	44222	57740	37750	162700	95250	6638	2318	33444	42830	104342	64374	197302	78130	19030	51918	11612	7504	18392	12978	56470	60738	56562	64918	22932	8348	78298	63896	4086	21670	39340	13104	51098	19140	22608	40564	79702	89742	90782	119198	38804	27350	20028	20122	13790	36128	1240	3926	22676	29658	11096	15680	16654	8926	6900	4642	102190	42316	106476	105376	43986	31356	69920	82444	71604	39338	50592	38432	68750	80714	129952	99154	114010	92342	56874	62150	55104	55656	87106	68720	134308	91286	119470	54836	82784	47762	91482	98874	
data	data	SFG_L_7_1	SFG_R_7_1	SFG_L_7_2	SFG_R_7_2	SFG_L_7_3	SFG_R_7_3	SFG_L_7_4	SFG_R_7_4	SFG_L_7_5	SFG_R_7_5	SFG_L_7_6	SFG_R_7_6	SFG_L_7_7	SFG_R_7_7	MFG_L_7_1	MFG_R_7_1	MFG_L_7_2	MFG_R_7_2	MFG_L_7_3	MFG_R_7_3	MFG_L_7_4	MFG_R_7_4	MFG_L_7_5	MFG_R_7_5	MFG_L_7_6	MFG_R_7_6	MFG_L_7_7	MFG_R_7_7	IFG_L_6_1	IFG_R_6_1	IFG_L_6_2	IFG_R_6_2	IFG_L_6_3	IFG_R_6_3	IFG_L_6_4	IFG_R_6_4	IFG_L_6_5	IFG_R_6_5	IFG_L_6_6	IFG_R_6_6	OrG_L_6_1	OrG_R_6_1	OrG_L_6_2	OrG_R_6_2	OrG_L_6_3	OrG_R_6_3	OrG_L_6_4	OrG_R_6_4	OrG_L_6_5	OrG_R_6_5	OrG_R_6_6	OrG_R_6_6	PrG_L_6_1	PrG_R_6_1	PrG_L_6_2	PrG_R_6_2	PrG_L_6_3	PrG_R_6_3	PrG_L_6_4	PrG_R_6_4	PrG_L_6_5	PrG_R_6_5	PrG_L_6_6	PrG_R_6_6	PCL_L_2_1	PCL_R_2_1	PCL_L_2_2	PCL_R_2_2	STG_L_6_1	STG_R_6_1	STG_L_6_2	STG_R_6_2	STG_L_6_3	STG_R_6_3	STG_L_6_4	STG_R_6_4	STG_L_6_5	STG_R_6_5	STG_L_6_6	STG_R_6_6	MTG_L_4_1	MTG_R_4_1	MTG_L_4_2	MTG_R_4_2	MTG_L_4_3	MTG_R_4_3	MTG_L_4_4	MTG_R_4_4	ITG_L_7_1	ITG_R_7_1	ITG_L_7_2	ITG_R_7_2	ITG_L_7_3	ITG_R_7_3	ITG_L_7_4	ITG_R_7_4	ITG_L_7_5	ITG_R_7_5	ITG_L_7_6	ITG_R_7_6	ITG_L_7_7	ITG_R_7_7	FuG_L_3_1	FuG_R_3_1	FuG_L_3_2	FuG_R_3_2	FuG_L_3_3	FuG_R_3_3	PhG_L_6_1	PhG_R_6_1	PhG_L_6_2	PhG_R_6_2	PhG_L_6_3	PhG_R_6_3	PhG_L_6_4	PhG_R_6_4	PhG_L_6_5	PhG_R_6_5	PhG_L_6_6	PhG_R_6_6	pSTS_L_2_1	pSTS_R_2_1	pSTS_L_2_2	pSTS_R_2_2	SPL_L_5_1	SPL_R_5_1	SPL_L_5_2	SPL_R_5_2	SPL_L_5_3	SPL_R_5_3	SPL_L_5_4	SPL_R_5_4	SPL_L_5_5	SPL_R_5_5	IPL_L_6_1	IPL_R_6_1	IPL_L_6_2	IPL_R_6_2	IPL_L_6_3	IPL_R_6_3	IPL_L_6_4	IPL_R_6_4	IPL_L_6_5	IPL_R_6_5	IPL_L_6_6	IPL_R_6_6	PCun_L_4_1	PCun_R_4_1	PCun_L_4_2	PCun_R_4_2	PCun_L_4_3	PCun_R_4_3	PCun_L_4_4	PCun_R_4_4	PoG_L_4_1	PoG_R_4_1	PoG_L_4_2	PoG_R_4_2	PoG_L_4_3	PoG_R_4_3	PoG_L_4_4	PoG_R_4_4	INS_L_6_1	INS_R_6_1	INS_L_6_2	INS_R_6_2	INS_L_6_3	INS_R_6_3	INS_L_6_4	INS_R_6_4	INS_L_6_5	INS_R_6_5	INS_L_6_6	INS_R_6_6	CG_L_7_1	CG_R_7_1	CG_L_7_2	CG_R_7_2	CG_L_7_3	CG_R_7_3	CG_L_7_4	CG_R_7_4	CG_L_7_5	CG_R_7_5	CG_L_7_6	CG_R_7_6	CG_L_7_7	CG_R_7_7	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	MVOcC	LOcC_L_4_1	LOcC_R_4_1	LOcC_L_4_2	LOcC_R_4_2	LOcC_L_4_3	LOcC_R_4_3	LOcC_L_4_4	LOcC_R_4_4	LOcC_L_2_1	LOcC_R_2_1	LOcC_L_2_2	LOcC_R_2_2	Amyg_L_2_1	Amyg_R_2_1	Amyg_L_2_2	Amyg_R_2_2	Hipp_L_2_1	Hipp_R_2_1	Hipp_L_2_2	Hipp_R_2_2	BG_L_6_1	BG_R_6_1	BG_L_6_2	BG_R_6_2	BG_L_6_3	BG_R_6_3	BG_L_6_4	BG_R_6_4	BG_L_6_5	BG_R_6_5	BG_L_6_6	BG_R_6_6	Tha_L_8_1	Tha_R_8_1	Tha_L_8_2	Tha_R_8_2	Tha_L_8_3	Tha_R_8_3	Tha_L_8_4	Tha_R_8_4	Tha_L_8_5	Tha_R_8_5	Tha_L_8_6	Tha_R_8_6	Tha_L_8_7	Tha_R_8_7	Tha_L_8_8	Tha_R_8_8	
54008	SFG_L_7_1	0	1604	1400	0	102	0	3444	1875	4382	1938	309	0	0	0	0	0	0	0	0	0	0	0	26	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722	155	433	0	582	0	0	0	0	0	157	52	124	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	357	35	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	42	54	1305	0	0	0	0	0	2023	20	3031	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	189	0	56	0	235	0	244	0	130	0	272	0	
38616	SFG_R_7_1	1604	0	97	1969	0	166	1023	2472	731	2172	17	374	0	48	0	0	0	0	0	0	0	0	0	0	92	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	201	0	0	0	0	0	0	0	0	28	47	33	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	463	0	0	0	0	50	1150	584	1957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	0	0	0	0	0	0	0	147	0	0	0	923	0	330	0	327	0	491	
33014	SFG_L_7_2	1400	97	0	0	2250	0	1113	0	527	0	638	0	0	0	338	0	854	0	0	0	170	0	2549	0	1847	0	0	0	0	0	0	0	70	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	140	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	504	0	0	0	0	0	688	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	18	0	0	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	110	0	118	0	223	0	69	0	600	0	161	0	
46404	SFG_R_7_2	0	1969	0	0	0	3143	0	356	0	67	0	361	0	1507	0	3303	0	766	0	0	0	259	0	291	0	1476	0	0	0	101	0	254	0	642	0	123	0	798	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	31	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	30	0	0	0	277	0	0	0	47	0	0	0	0	0	132	0	227	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	33	0	0	0	36	0	0	0	0	0	0	0	22	0	17	0	0	0	176	0	21	0	84	0	1642	0	177	0	0	0	28	0	302	0	0	0	1472	0	340	0	1091	0	742	
73166	SFG_L_7_3	102	0	2250	0	0	2170	0	0	0	0	3216	3145	5393	3054	3428	0	542	0	1023	515	240	32	1568	0	0	0	0	0	0	0	0	0	245	0	0	0	450	0	52	0	0	0	0	0	173	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	29	0	36	0	38	0	0	0	57	25	2122	3247	0	0	55	0	0	0	39	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	128	0	0	0	43	0	796	0	162	0	0	0	20	0	21	0	172	0	69	0	22	0	600	0	50	0	
81490	SFG_R_7_3	0	166	0	3143	2170	0	0	0	0	0	2174	5194	2696	8116	591	2926	0	19	0	2237	0	437	0	0	0	0	0	119	0	0	0	238	0	648	0	116	0	839	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	26	0	0	0	302	0	0	0	27	1384	2830	0	0	0	32	0	37	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	19	0	91	0	726	0	195	0	0	0	18	0	81	0	0	0	716	0	72	0	1198	0	141	
57714	SFG_L_7_4	3444	1023	1113	0	0	0	0	1072	4652	1436	42	0	0	0	0	0	28	0	0	0	0	0	69	0	2326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2402	190	1241	0	1484	0	0	0	0	0	603	121	383	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	1213	108	0	0	27	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	58	40	401	0	0	0	0	0	742	0	2349	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	88	0	104	0	124	0	47	0	164	0	88	0	
58802	SFG_R_7_4	1875	2472	0	356	0	0	1072	0	2224	5239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	2876	0	1191	22	1448	0	0	0	0	0	1376	69	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	166	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376	0	0	0	0	0	0	0	0	0	302	0	948	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	40	198	1080	2785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	
